,date,Name,state,FIPS,positive,AQI,date_str
500,2020-03-23,Iowa,IA,19,1741,50.85714286,03/23/2020
2000,2020-03-23,Wisconsin,WI,55,6799,54.28571429,03/23/2020
1541,2020-03-23,Oregon,OR,41,2792,30.0,03/23/2020
1582,2020-03-23,Pennsylvania,PA,42,16115,49.85714286,03/23/2020
331,2020-03-23,Delaware,DE,10,1209,44.85714286,03/23/2020
876,2020-03-23,Maine,ME,23,1336,48.0,03/23/2020
1706,2020-03-23,South Dakota,SD,46,434,32.57142857,03/23/2020
44,2020-03-23,Alabama,AL,1,3952,47.42857143,03/23/2020
1418,2020-03-23,New York,NY,36,316698,34.71428571,03/23/2020
1164,2020-03-23,North Dakota,ND,38,469,35.42857143,03/23/2020
747,2020-03-23,Louisiana,LA,22,19114,32.57142857,03/23/2020
290,2020-03-23,District of Columbia,DC,11,1865,40.71428571,03/23/2020
1208,2020-03-23,Nebraska,NE,31,620,32.42857143,03/23/2020
1294,2020-03-23,New Jersey,NJ,34,64924,44.85714286,03/23/2020
1959,2020-03-23,Washington,WA,53,36946,34.14285714,03/23/2020
1376,2020-03-23,Nevada,NV,32,3909,60.85714286,03/23/2020
959,2020-03-23,Minnesota,MN,27,4386,47.57142857,03/23/2020
291,2020-03-30,District of Columbia,DC,11,5488,42.85714286,03/30/2020
45,2020-03-30,Alabama,AL,1,10067,48.42857143,03/30/2020
666,2020-03-30,Kansas,KS,20,4372,31.0,03/30/2020
1250,2020-03-30,New Hampshire,NH,33,3453,35.57142857,03/30/2020
1872,2020-03-30,Virginia,VA,51,14374,32.0,03/30/2020
1295,2020-03-30,New Jersey,NJ,34,209155,38.14285714,03/30/2020
1001,2020-03-30,Missouri,MO,29,14235,44.0,03/30/2020
625,2020-03-30,Indiana,IN,18,24508,50.71428571,03/30/2020
1542,2020-03-30,Oregon,OR,41,6350,35.0,03/30/2020
2042,2020-03-30,West Virginia,WV,54,1758,37.0,03/30/2020
1083,2020-03-30,Montana,MT,30,1712,18.71428571,03/30/2020
86,2020-03-30,Arkansas,AR,5,4902,41.14285714,03/30/2020
1830,2020-03-30,Utah,UT,49,8927,41.14285714,03/30/2020
1042,2020-03-30,Mississippi,MS,28,9376,49.28571429,03/30/2020
748,2020-03-30,Louisiana,LA,22,71481,36.85714286,03/30/2020
1913,2020-03-30,Vermont,VT,50,2877,57.85714286,03/30/2020
332,2020-03-30,Delaware,DE,10,3469,49.85714286,03/30/2020
1583,2020-03-30,Pennsylvania,PA,42,60591,47.42857143,03/30/2020
1501,2020-03-30,Oklahoma,OK,40,6889,38.0,03/30/2020
1625,2020-03-30,Rhode Island,RI,44,6271,38.85714286,03/30/2020
