State Name,State Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
AK,2,4/30/20,42,Good,PM10,02-020-0045,3
AK,2,5/1/20,30,Good,PM10,02-020-0045,3
AK,2,5/2/20,41,Good,PM2.5,02-020-0018,3
AK,2,5/3/20,25,Good,PM10,02-020-0045,3
AK,2,5/4/20,18,Good,PM10,02-020-0045,3
AK,2,5/5/20,26,Good,PM10,02-020-0045,3
AK,2,5/6/20,33,Good,PM10,02-020-0045,3
AK,2,5/7/20,28,Good,PM10,02-020-0045,3
AK,2,5/8/20,26,Good,PM10,02-020-0045,3
AK,2,5/9/20,23,Good,PM10,02-020-0045,3
AK,2,5/10/20,28,Good,PM2.5,02-020-0018,3
AK,2,5/11/20,38,Good,PM10,02-020-0045,3
AK,2,5/12/20,19,Good,PM10,02-020-0045,3
AK,2,5/13/20,30,Good,PM10,02-020-0045,3
AK,2,5/14/20,34,Good,PM10,02-020-0045,3
AK,2,5/15/20,33,Good,PM10,02-020-0045,3
AK,2,5/16/20,18,Good,PM10,02-020-0045,3
AK,2,5/17/20,15,Good,PM10,02-020-0045,3
AK,2,5/18/20,25,Good,PM10,02-020-0045,3
AK,2,5/19/20,13,Good,PM10,02-020-0045,3
AK,2,5/20/20,17,Good,PM10,02-020-0045,3
AK,2,5/21/20,14,Good,PM10,02-020-0045,3
AK,2,5/22/20,13,Good,PM10,02-020-0045,3
AK,2,5/23/20,9,Good,PM10,02-020-0045,3
AK,2,5/24/20,6,Good,PM2.5,02-020-0018,3
AK,2,5/25/20,13,Good,PM2.5,02-020-0018,3
AK,2,5/26/20,11,Good,PM10,02-020-0045,3
AK,2,5/27/20,15,Good,PM10,02-020-1004,3
AK,2,5/28/20,19,Good,PM10,02-020-1004,3
AK,2,5/29/20,27,Good,PM10,02-020-0045,3
AK,2,5/30/20,27,Good,PM2.5,02-020-0018,3
AK,2,5/31/20,9,Good,PM2.5,02-020-0018,3
AK,2,6/1/20,18,Good,PM10,02-020-0045,3
AK,2,6/2/20,16,Good,PM10,02-020-0045,3
AK,2,6/3/20,13,Good,PM10,02-020-0045,3
AK,2,6/4/20,13,Good,PM10,02-020-0045,3
AK,2,6/5/20,19,Good,PM10,02-020-0045,3
AK,2,6/6/20,21,Good,PM2.5,02-020-0018,3
AK,2,6/7/20,13,Good,PM2.5,02-020-0018,3
AK,2,6/8/20,8,Good,PM2.5,02-020-0018,3
AK,2,6/9/20,13,Good,PM2.5,02-020-0018,3
AK,2,6/10/20,17,Good,PM10,02-020-0045,3
AK,2,6/11/20,11,Good,PM10,02-020-0045,3
AK,2,6/12/20,17,Good,PM2.5,02-020-0018,3
AK,2,6/13/20,14,Good,PM2.5,02-020-0018,3
AK,2,6/14/20,9,Good,PM10,02-020-0045,3
AK,2,6/15/20,15,Good,PM10,02-020-0045,3
AK,2,6/16/20,19,Good,PM10,02-020-1004,3
AK,2,6/17/20,15,Good,PM10,02-020-0045,3
AK,2,6/18/20,14,Good,PM10,02-020-0045,3
AK,2,6/19/20,10,Good,PM2.5,02-020-0018,3
AK,2,6/20/20,10,Good,PM2.5,02-020-0018,3
AK,2,6/21/20,8,Good,PM10,02-020-0045,3
AK,2,6/22/20,10,Good,PM10,02-020-0045,3
AK,2,6/23/20,8,Good,PM10,02-020-0045,3
AK,2,6/24/20,10,Good,PM10,02-020-0045,3
AK,2,6/25/20,12,Good,PM10,02-020-0045,3
AK,2,6/26/20,13,Good,PM10,02-020-0045,2
AK,2,6/27/20,11,Good,PM10,02-020-0045,2
AK,2,6/28/20,7,Good,PM10,02-020-0045,2
AK,2,6/29/20,13,Good,PM10,02-020-0045,2
AK,2,6/30/20,13,Good,PM10,02-020-0045,3
AK,2,7/1/20,2,Good,CO,02-020-0018,1
AZ,4,1/1/20,199,Unhealthy,PM2.5,04-013-0019,28
AZ,4,1/2/20,76,Moderate,PM2.5,04-013-9812,28
AZ,4,1/3/20,68,Moderate,PM2.5,04-013-9997,28
AZ,4,1/4/20,88,Moderate,PM2.5,04-013-0019,28
AZ,4,1/5/20,86,Moderate,PM2.5,04-013-0019,28
AZ,4,1/6/20,66,Moderate,PM2.5,04-013-9812,28
AZ,4,1/7/20,64,Moderate,PM2.5,04-013-9812,28
AZ,4,1/8/20,63,Moderate,PM10,04-013-4009,28
AZ,4,1/9/20,49,Good,PM10,04-013-4009,28
AZ,4,1/10/20,39,Good,Ozone,04-013-9508,28
AZ,4,1/11/20,65,Moderate,PM2.5,04-013-4003,28
AZ,4,1/12/20,84,Moderate,PM2.5,04-013-4020,28
AZ,4,1/13/20,65,Moderate,PM2.5,04-013-4020,28
AZ,4,1/14/20,68,Moderate,PM2.5,04-013-4020,27
AZ,4,1/15/20,72,Moderate,PM2.5,04-013-4020,27
